,tweet_text
0, starmer It s not foolish it s reality That is literally reality in Canada Go to the https t co kWsWHcense
1,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
2,  Voice No covid 19 rapid test kits are permitted for sale to the public in Canada so for the sake of a 10 10 minute test C 
3,  Happy 4 20pm Let s celebrate with a GIVEAWAY for our 4 20 box for the 4 20 movie This giveaway is 18 USA and CANA 
4,  My family lives in Canada Every one of them who are no longer working as a result of COVID19 filed their claims onli 
5,  morfoot OK CANADA WE A SUPPOSED TO STAY HOME DON T TRAVEL DON T GATHER WITH FAMILY DONT GO TO CHURCH AND TRUDEAU WHO IS IN 
6,  CoronaVirus Poor Americans They don t have water resources in US as we have in SriLanka https t co dYNtsB2EWT
7,  B C s top doctor and health minister have been pleading with people to stay home this long weekend and avoid non essential 
8,  Most coronavirus deaths Italy 18 849 US 18 331 Spain 15 970 France 13 197 UK 8 958 Iran 4 232 China 3 336 Belg 
9,  last year Canada s biggest energy companies raised executive pay and paid out millions in cash bonuses while laying off 
10,  If you re a small business owner worried about paying the bills we ve got your back We launched the Canada Emergency B 
11, in Canada It s so much better up north The zecs in Quebec are insane 
12,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
13,  Cameron What gives with Trump trying to arm the US Canada border Ain t no Canadian wanting to go south 
14, acetaminophen 325 mg guaifenesin 200mg and menthol 20 mg Non Medicina https t co SWBY7g1nGK
15,  Phenyltoloxamine is an antihistamine with sedative properties like Chlorpheniramine so it s very similar If I lived 
16,  Stimulus packages around the world UK 80 of workers salaries Denmark 75 of workers salaries S Korea 70 of wor 
17,  Reinio Exactly 1 yr ago Doug Ford s Cons told local public health units it is slashing prov funding a decision that we knew 
18,This is utterly horrific and should never have happened We must resolve to end for profit facilities and bring t https t co z8L6FkuzHg
19,  Stealing masks from other countries amp stockpiling hydroxychloroquine what has US become With tRump leading this country 
20,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
21,worth a read https t co mzvUt7Iubz
22,  My daughter lives in Canada and applied for the COVID 19 benefit on Tuesday It took two minutes to apply The first pa 
23,  Nobody is fleeing Canada to go to the US https t co mkKTaJCroZ
24,  The only flights to Canada that have stopped are due to the other countries or airline companies Flights from China ha 
