id,tweet,bow,match,polarity
1, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
2,LVFREW baddogs4343 Wow   How odd  Im actually in Canada and have had NO glitches That is interesting,"{'lvfrew': 1, 'baddogs4343': 1, 'wow': 1, 'how': 1, 'odd': 1, 'im': 1, 'actually': 1, 'in': 1, 'canada': 1, 'and': 1, 'have': 1, 'had': 1, 'no': 1, 'glitches': 1, 'that': 1, 'is': 1, 'interesting': 1}","{'wow': 1, 'odd': 1, 'glitches': 1, 'interesting': 1}",neutral
3, cbcnewsbc Popular TV show The Good Doctor has given health authorities the gowns face masks and gloves usually worn by its actors to,"{'cbcnewsbc': 1, 'popular': 1, 'tv': 1, 'show': 1, 'the': 2, 'good': 1, 'doctor': 1, 'has': 1, 'given': 1, 'health': 1, 'authorities': 1, 'gowns': 1, 'face': 1, 'masks': 1, 'and': 1, 'gloves': 1, 'usually': 1, 'worn': 1, 'by': 1, 'its': 1, 'actors': 1, 'to': 1}","{'popular': 1, 'good': 1, 'worn': 1}",positive
4, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
5, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
6, bcbluecon This is a huge bombshellCanadas health expert stationed in China until 2015 offered his help to Tam but she refused ht,"{'bcbluecon': 1, 'this': 1, 'is': 1, 'a': 1, 'huge': 1, 'bombshellcanadas': 1, 'health': 1, 'expert': 1, 'stationed': 1, 'in': 1, 'china': 1, 'until': 1, '2015': 1, 'offered': 1, 'his': 1, 'help': 1, 'to': 1, 'tam': 1, 'but': 1, 'she': 1, 'refused': 1, 'ht': 1}",{'refused': 1},negative
7,Charlie99987483 Greetings CanadaWWG1WGA,"{'charlie99987483': 1, 'greetings': 1, 'canadawwg1wga': 1}",{},neutral
8, spectatorindex Most coronavirus deathsUS  20455Italy 19468Spain 16480France 13832UK 9875Iran 4357Belgium 3346C,"{'spectatorindex': 1, 'most': 1, 'coronavirus': 1, 'deathsus': 1, '20455italy': 1, '19468spain': 1, '16480france': 1, '13832uk': 1, '9875iran': 1, '4357belgium': 1, '3346c': 1}",{},neutral
9, Charlie99987483 Patriots from Canada at the readyWWG1WGA WWG1WGAWORLDWIDE GREATAWAKENING QANON ,"{'charlie99987483': 1, 'patriots': 1, 'from': 1, 'canada': 1, 'at': 1, 'the': 1, 'readywwg1wga': 1, 'wwg1wgaworldwide': 1, 'greatawakening': 1, 'qanon': 1}",{},neutral
10,JohnHop74932831 taxedtodeath2 WhatsUpCanada Join here ,"{'johnhop74932831': 1, 'taxedtodeath2': 1, 'whatsupcanada': 1, 'join': 1, 'here': 1}",{},neutral
